ppm intensity peak
0.542056075 0.025839892 1
0.542605827 0.025839892 1
0.54315558 0.025839892 1
0.543705333 0.015200294 1
0.544255085 0.026535611 1
0.544804838 0.025066322 1
0.54535459 0.021886638 1
0.545904343 0.007675602 1
0.546454096 0.026269806 1
0.547003848 0.010894042 1
0.547553601 0.045362449 1
0.548103353 0.074395236 1
0.548653106 0.058741952 1
0.549202859 0.04744847 1
0.549752611 0.012773327 1
0.550302364 0.011732516 1
0.550852117 0.023349278 1
0.551401869 0.023349278 1
0.551951622 0.012296468 1
0.552501374 0.028815901 1
0.553051127 -0.009105613 1
0.55360088 -0.009105613 1
0.554150632 -0.009105613 1
0.554700385 -0.00693762 1
0.555250137 0.019462255 1
0.55579989 -0.003667966 1
0.556349643 -0.000216525 1
0.556899395 -0.000216525 1
0.557449148 0.015217057 1
0.5579989 0.025914166 1
0.558548653 0.025914166 1
0.559098406 0.029086977 1
0.559648158 0.015766286 1
0.560197911 0.014155649 1
0.560747664 0.00531843 1
0.561297416 0.013848783 1
0.561847169 0.006235636 1
0.562396921 0.01507117 1
0.562946674 0.026836262 1
0.563496427 0.026836262 1
0.564046179 0.026836262 1
0.564595932 0.035746549 1
0.565145684 0.062922213 1
0.565695437 0.028296845 1
0.56624519 0.022578088 1
0.566794942 -0.003324469 1
0.567344695 -0.013069568 1
0.567894447 -0.042156023 1
0.5684442 0.030475071 1
0.568993953 0.011676641 1
0.569543705 0.011676641 1
0.570093458 0.023223448 1
0.570643211 0.023223448 1
0.571192963 0.048560608 1
0.571742716 0.037323969 1
0.572292468 0.04853621 1
0.572842221 0.01617178 1
0.573391974 0.038005893 1
0.573941726 0.028107965 1
0.574491479 0.017246169 1
0.575041231 0.017246169 1
0.575590984 0.021950263 1
0.576140737 0.027099555 1
0.576690489 0.033809711 1
0.577240242 0.035529228 1
0.577789995 -0.000979276 1
0.578339747 0.02631179 1
0.5788895 0.025533456 1
0.579439252 0.018402522 1
0.579989005 0.015188963 1
0.580538758 0.004880714 1
0.58108851 0.01631524 1
0.581638263 0.01631524 1
0.582188015 0.032667826 1
0.582737768 0.03860628 1
0.583287521 0.02028116 1
0.583837273 0.033263197 1
0.584387026 0.029393155 1
0.584936778 0.029393155 1
0.585486531 0.032232659 1
0.586036284 0.046080564 1
0.586586036 0.028245376 1
0.587135789 0.008846501 1
0.587685542 0.008846501 1
0.588235294 0.008846501 1
0.588785047 0.03641891 1
0.589334799 0.022642772 1
0.589884552 0.045795962 1
0.590434305 0.049511527 1
0.590984057 0.04788811 1
0.59153381 0.032025266 1
0.592083562 0.015860152 1
0.592633315 0.054137623 1
0.593183068 0.038459054 1
0.59373282 0.024933943 1
0.594282573 0.014500824 1
0.594832325 0.023912858 1
0.595382078 0.014630216 1
0.595931831 0.012310478 1
0.596481583 0.036627396 1
0.597031336 0.023047947 1
0.597581089 -0.004700783 1
0.598130841 0.011213839 1
0.598680594 0.019410872 1
0.599230346 -0.011760471 1
0.599780099 -0.011760471 1
0.600329852 -0.000821059 1
0.600879604 -0.000821059 1
